Hip Angle,Thigh Acc X,Thigh Acc Y,Thigh Acc Z,Thigh Gyro X,Thigh Gyro Y,Thigh Gyro Z,Trunk Acc X,Trunk Acc Y,Trunk Acc Z,Trunk Gyro X,Trunk Gyro Y,Trunk Gyro Z,Gait Percent,Speed
0.5713239999999999,-0.4305,-0.53522,-0.2967,0.09229,0.16235,-1.13354,-0.40258,-0.06167,-0.16871,-1.00586,-0.0979,0.03442,13.78,0.3
0.8789600000000001,-0.42003,-0.54802,-0.3188,-0.07935,-0.09888,-0.9436,-0.40258,-0.058179999999999996,-0.17104,-1.07471,-0.06909,0.03394,14.29,0.3
1.186596,-0.42933999999999994,-0.59921,-0.35953,-0.06957999999999999,-0.054689999999999996,-1.04639,-0.41421,-0.0989,-0.18965,-1.04932,-0.061770000000000005,0.12183,14.8,0.3
1.494232,-0.45493999999999996,-0.62248,-0.33276999999999995,-0.0332,0.1123,-1.04224,-0.42933999999999994,-0.08494,-0.17336,-1.00439,-0.12622,0.03003,15.31,0.3
1.801868,-0.47123000000000004,-0.65041,-0.3572,-0.06299,0.11255,-1.10449,-0.42236,-0.08843,-0.18849000000000002,-1.00488,-0.09033,0.09595,15.82,0.3
2.131478,-0.48635,-0.68997,-0.36884,-0.02344,-0.05151,-0.98926,-0.41886999999999996,-0.07214,-0.19197999999999998,-0.9787600000000001,-0.06665,0.08594,16.33,0.3
2.483062,-0.5142800000000001,-0.70858,-0.37349,-0.16309,-0.05811,-0.84375,-0.39676,-0.08027999999999999,-0.18965,-1.04102,-0.06299,0.02783,16.84,0.3
2.8785939999999997,-0.58409,-0.80632,-0.37814000000000003,-0.13452,0.15723,-1.0969200000000001,-0.37233,-0.06167,-0.16289,-1.04614,-0.0188,0.11400999999999999,17.35,0.3
3.2961,-0.5968899999999999,-0.85519,-0.37349,-0.14844000000000002,0.1377,-0.9782700000000001,-0.37233,-0.07097,-0.12333,-1.01489,-0.03027,0.07812999999999999,17.86,0.3
3.779528,-0.65622,-0.90871,-0.39443,-0.10303,0.25854,-0.98145,-0.37233,-0.08377000000000001,-0.09541000000000001,-0.9726600000000001,-0.0813,0.08423,18.37,0.3
