Hip Angle,Thigh Acc X,Thigh Acc Y,Thigh Acc Z,Thigh Gyro X,Thigh Gyro Y,Thigh Gyro Z,Trunk Acc X,Trunk Acc Y,Trunk Acc Z,Trunk Gyro X,Trunk Gyro Y,Trunk Gyro Z,Gait Percent,Speed
-1.31844,-0.0861,0.33509,-0.36651,-0.25171,0.18628,-0.99097,-0.22571999999999998,-0.08494,-0.13147999999999999,-0.92847,-0.14917,-0.14257999999999998,0.0,0.4
-1.582128,-0.08145,0.26994,-0.25481,-0.13965,-0.058839999999999996,-0.8269,-0.32345999999999997,-0.10704000000000001,-0.13613,-0.88525,-0.18262,-0.10181,0.56,0.4
-1.801868,-0.08959,0.25597,-0.37116,-0.20288,-0.22949,-0.9865700000000001,-0.32579,-0.08959,-0.21291999999999997,-0.93066,-0.13452,-0.0791,1.13,0.4
-2.021608,-0.13030999999999998,0.20245,-0.40607,-0.09692,0.050289999999999994,-1.01636,-0.38745,-0.12217,-0.20478,-0.93237,-0.19263,-0.06738,1.69,0.4
-2.241348,-0.08261,0.13147999999999999,-0.41653999999999997,-0.37035999999999997,-0.15259,-1.01685,-0.43516000000000005,-0.16289,-0.26411999999999997,-0.9960899999999999,-0.12793,-0.1123,2.26,0.4
-2.483062,-0.06167,0.10820999999999999,-0.30601,-0.06763,-0.16626,-1.16309,-0.4561,-0.19430999999999998,-0.29553,-1.04126,-0.12476,-0.03735,2.82,0.4
-2.724776,-0.08494,0.06167,-0.43865,-0.23779,-0.19873,-1.15796,-0.46424,-0.17104,-0.34789000000000003,-1.15747,-0.12207,-0.00659,3.39,0.4
-2.922542,-0.04887,0.00233,-0.37465,-0.21509,-0.10645,-1.13647,-0.47355,-0.12799000000000002,-0.36302,-1.16821,-0.09033,0.00659,3.95,0.4
-3.032412,-0.06167,-0.09657,-0.4084,-0.29028000000000004,-0.24072,-1.18945,-0.46657,-0.10472000000000001,-0.39211,-1.2746600000000001,-0.10985999999999999,0.0752,4.52,0.4
-3.098334,-0.12217,-0.18733,-0.42236,-0.13721,0.07397000000000001,-1.31958,-0.37582,-0.06516,-0.38163,-1.34155,-0.03418,0.14355,5.08,0.4
-3.098334,-0.20594,-0.25365,-0.42468,-0.17554,0.01123,-1.26245,-0.37349,-0.08377000000000001,-0.35486999999999996,-1.34619,-0.12817,0.23267,5.65,0.4
-3.098334,-0.2839,-0.30833,-0.37931,-0.21777,0.01831,-1.35645,-0.27924,-0.022109999999999998,-0.38395999999999997,-1.25806,-0.06006,0.07886,6.21,0.4
-2.9664900000000003,-0.33509,-0.3956,-0.31182,-0.25171,0.13305999999999998,-1.21655,-0.24318,-0.01745,-0.38395999999999997,-1.31226,-0.0752,0.02417,6.78,0.4
-2.702802,-0.38629,-0.50497,-0.24318,-0.17432,0.08032,-1.1701700000000002,-0.26994,0.04421,-0.35486999999999996,-1.29272,-0.12524000000000002,0.02222,7.34,0.4
-2.395166,-0.45261,-0.5899,-0.25945999999999997,-0.056639999999999996,0.07739,-1.17822,-0.28041,0.01396,-0.31648000000000004,-1.29175,-0.1062,-0.03003,7.91,0.4
-2.043582,-0.54569,-0.6655300000000001,-0.32928,-0.07031,0.1748,-1.12988,-0.32229,-0.09774,-0.23968000000000003,-1.1062,-0.07787999999999999,0.0874,8.47,0.4
-1.516206,-0.6667,-0.73185,-0.36534,-0.07764,0.22876,-1.073,-0.35370999999999997,-0.13962,-0.25016,-1.00928,-0.06274,0.06836,9.04,0.4
-0.856986,-0.66902,-0.75629,-0.3956,-0.17163,0.1709,-1.03345,-0.37582,-0.16289,-0.27575,-0.94629,-0.07666,-0.01904,9.6,0.4
-0.153818,-0.86682,-1.12629,-0.8982399999999999,-0.9675299999999999,0.26465,-0.97754,-0.38047,-0.20594,-0.30601,-0.96045,-0.13086,-0.03687,10.17,0.4
0.461454,-0.86566,-1.231,-0.18035,-0.3313,0.28198,-0.8044399999999999,-0.43632,-0.20478,-0.19197999999999998,-0.76636,-0.07642,0.16748,10.73,0.4
1.0987,-0.27924,-1.01692,0.7458199999999999,-0.25390999999999997,-0.2793,-0.9587399999999999,-0.41538,-0.14544,-0.26063000000000003,-0.9834,0.05225,-0.042480000000000004,11.3,0.4
1.735946,-0.45493999999999996,-0.8319200000000001,0.72255,0.42041000000000006,-0.08202999999999999,-0.81226,-0.46657,-0.12682000000000002,-0.21874000000000002,-0.88721,0.010740000000000001,-0.0083,11.86,0.4
2.30727,-0.9727,-1.2438,-0.6027,0.27563000000000004,0.03003,-0.88623,-0.45843,-0.1373,-0.24085,-0.88403,-0.06396,0.11352999999999999,12.43,0.4
2.900568,-0.8005,-1.21471,-0.33858,0.04712,0.11205999999999999,-0.9494600000000001,-0.46075,-0.11052999999999999,-0.22223,-0.93506,0.0022,0.12207,12.99,0.4
3.603736,-0.7528,-0.97619,0.1373,0.39258000000000004,-0.22485,-0.60059,-0.44446,-0.06632,-0.14544,-0.80835,-0.03638,-0.0017100000000000001,13.56,0.4
4.3948,-0.9098700000000001,-1.08556,-0.7237100000000001,0.058589999999999996,0.12769,-0.88184,-0.39909,-0.09075,-0.1722,-0.9204100000000001,0.043210000000000005,0.14722000000000002,14.12,0.4
5.27376,-1.09371,-1.41949,-1.40204,-0.58594,0.09863,-0.88159,-0.45028,-0.11635,-0.10588,-0.75073,-0.06616,0.08911000000000001,14.69,0.4
6.130746,-1.16701,-1.65685,-1.16352,-0.7041,0.42798,-0.92212,-0.42468,-0.06981,-0.17453,-0.83594,0.01733,0.11523,15.25,0.4
6.987732,-0.8517,-1.63009,-0.33276999999999995,-0.15869,0.061279999999999994,-1.04321,-0.43167,-0.08027999999999999,-0.03025,-0.9965799999999999,0.11035,0.11621,15.82,0.4
